ID,Parent,Subject,Page Label,Page Index,Lock,Status,Tick mark,Author,Date,Colour,Comments
CJIIDUDSOZBEXFGF,,Living Area,2,2,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:15,#0000FF,Unit 002 84.27 sq m
HLELKAZJWNLBRSRB,,Floor Area,2,2,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:15,#FF0000,Unit 002 189.29 sq m
KWRQNUXENFYHFWRS,,Living Area,2,2,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:15,#0000FF,Unit 001 77.35 sq m
TODEQDTYUBIXRMKW,,Floor Area,2,2,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:15,#FF0000,Unit 001 160.08 sq m
AMYJPHNVZPLIFCXI,,Floor Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#FF0000,Unit 105 80.03 sq m
APHWWUPWVBJIVGZE,,Floor Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#FF0000,Unit 106 80.9 sq m
BTCDPERJRJCBGURQ,,Floor Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#FF0000,Unit 104 142.12 sq m
CCNUKSDDMIIPRMMY,,Floor Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#FF0000,Unit 101 176.8 sq m
CSNYUSWKYCFFKGDG,,Living Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#0000FF,Unit 105 53.4 sq m
FMXEIPJZKQVTTCEA,,Floor Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#FF0000,Unit 103 164.1 sq m
JADSUOURICTXAFZJ,,Living Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#0000FF,Unit 102 66.59 sq m
NYTJJGXSUVQIGNAY,,Living Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#0000FF,Unit 104 73.2 sq m
OWTKHUATZVXSHVNE,,Living Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#0000FF,Unit 101 81.15 sq m
SKTCPBYUUXSUWJDH,,Floor Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#FF0000,Unit 102 176.88 sq m
UILAZYXLQQTQQIQQ,,Living Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#0000FF,Unit 103 85.9 sq m
VVPDGOZWTEIYUWMG,,Floor Area,3,3,Unlocked,,UnSelected,MalinD,11/06/2020 16:14:03,#FF0000,Unit 107 163.03 sq m
